# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
2298000 600
465 154.446 1.04377 441.543
466 154.779 1.05399 444.269
467 155.111 1.06387 447.027
468 155.444 1.07413 449.818
469 155.776 1.08457 452.641
470 156.109 1.09414 455.496
471 156.441 1.1051 458.385
472 156.774 1.11492 461.307
473 157.106 1.12491 464.26
474 157.439 1.13533 467.248
475 157.771 1.14519 470.267
476 158.104 1.15534 473.32
477 158.436 1.16501 476.405
478 158.769 1.1752 479.524
479 159.101 1.18482 482.674
480 159.434 1.19479 485.858
481 159.766 1.20459 489.074
482 160.099 1.21445 492.324
483 160.431 1.22445 495.607
484 160.764 1.23363 498.922
485 161.096 1.24321 502.269
486 161.429 1.25295 505.649
487 161.761 1.26251 509.063
488 162.094 1.27179 512.508
489 162.426 1.28104 515.986
490 162.759 1.29005 519.495
491 163.091 1.29956 523.037
492 163.424 1.30896 526.612
493 163.756 1.31818 530.22
494 164.089 1.3273 533.86
495 164.421 1.3361 537.532
496 164.754 1.34469 541.234
497 165.086 1.35371 544.969
498 165.419 1.36218 548.735
499 165.751 1.37111 552.534
500 166.084 1.37917 556.362
501 166.416 1.38752 560.221
502 166.749 1.39621 564.112
503 167.081 1.4049 568.035
504 167.414 1.41301 571.989
505 167.746 1.4207 575.972
506 168.079 1.42901 579.986
507 168.411 1.43692 584.031
508 168.744 1.44453 588.105
509 169.076 1.45282 592.21
510 169.409 1.45979 596.343
511 169.741 1.46705 600.505
512 170.074 1.47503 604.698
513 170.406 1.4818 608.918
514 170.739 1.48935 613.168
515 171.071 1.4969 617.448
516 171.404 1.50347 621.755
517 171.736 1.51061 626.091
518 172.069 1.51711 630.454
519 172.401 1.52352 634.844
520 172.734 1.52958 639.259
521 173.066 1.53645 643.704
522 173.399 1.54283 648.175
523 173.731 1.54939 652.674
524 174.064 1.55498 657.197
525 174.396 1.56076 661.746
526 174.729 1.56663 666.321
527 175.061 1.57312 670.924
528 175.394 1.57838 675.551
529 175.726 1.5831 680.2
530 176.059 1.58778 684.872
531 176.391 1.59346 689.57
532 176.724 1.59909 694.293
533 177.056 1.60336 699.038
534 177.389 1.6088 703.807
535 177.721 1.6134 708.6
536 178.054 1.6176 713.413
537 178.386 1.62199 718.249
538 178.719 1.62687 723.109
539 179.051 1.62993 727.986
540 179.384 1.63415 732.885
541 179.716 1.63774 737.805
542 180.049 1.64185 742.745
543 180.381 1.64491 747.704
544 180.714 1.64877 752.684
545 181.046 1.65208 757.683
546 181.379 1.65578 762.702
547 181.711 1.65846 767.739
548 182.044 1.66143 772.794
549 182.376 1.66395 777.866
