#    Conf       T(K)      KE (Kcal/mol)  
 21981000      143.74960    16067.66016
 21982500      143.11537    15996.76855
 21984000      144.77611    16182.39844
 21985500      142.14772    15888.60938
 21987000      143.17116    16003.00391
 21988500      143.07195    15991.91406
 21990000      142.96428    15979.88086
 21991500      142.99419    15983.22266
 21993000      143.03313    15987.57520
 21994500      142.86688    15968.99414
 21996000      141.61911    15829.52246
 21997500      143.64877    16056.39063
 21999000      143.05070    15989.54102
 22000500      142.53763    15932.19043
 22002000      142.43819    15921.07617
 22003500      143.76860    16069.78418
 22005000      142.73566    15954.32617
 22006500      142.40282    15917.12305
 22008000      143.13530    15998.99609
 22009500      141.96382    15868.05273
 22011000      142.52499    15930.77930
 22012500      144.01732    16097.58496
 22014000      143.75636    16068.41602
 22015500      144.04489    16100.66602
 22017000      143.47206    16036.63770
 22018500      143.73608    16066.14941
 22020000      144.32455    16131.92480
 22021500      143.14813    16000.43066
 22023000      142.16368    15890.39355
 22024500      142.97266    15980.81738
 22026000      142.00400    15872.54492
 22027500      143.12633    15997.99219
 22029000      144.33939    16133.58301
 22030500      143.72597    16065.01855
 22032000      143.71394    16063.67383
 22033500      142.65465    15945.27148
 22035000      141.76749    15846.10742
 22036500      142.40950    15917.87012
 22038000      143.53835    16044.04688
 22039500      143.35359    16023.39648
 22041000      141.98827    15870.78711
 22042500      141.23546    15786.63965
 22044000      141.47183    15813.06055
 22045500      142.90979    15973.78906
 22047000      143.00848    15984.82129
 22048500      141.60255    15827.67383
 22050000      141.73149    15842.08594
 22051500      142.50346    15928.37305
 22053000      142.94904    15978.17578
 22054500      144.29457    16128.57520
 22056000      142.73358    15954.09375
 22057500      142.45547    15923.00781
 22059000      144.77985    16182.81543
 22060500      144.20715    16118.80176
 22062000      141.60329    15827.75391
 22063500      142.64688    15944.40332
 22065000      142.98676    15982.39160
 22066500      142.31781    15907.62012
 22068000      142.96045    15979.45215
 22069500      143.49463    16039.16016
 22071000      143.05521    15990.04395
 22072500      143.13539    15999.00586
 22074000      143.31998    16019.63770
 22075500      143.54993    16045.34082
 22077000      143.74553    16067.20410
 22078500      144.05901    16102.24414
 22080000      143.76410    16069.28027
 22081500      143.25548    16012.42871
 22083000      141.80618    15850.43457
 22084500      144.20427    16118.48145
 22086000      141.47902    15813.86426
 22087500      143.31752    16019.36426
 22089000      142.01639    15873.92871
 22090500      143.97163    16092.47754
 22092000      143.13847    15999.35156
 22093500      142.70540    15950.94336
 22095000      143.86841    16080.93945
 22096500      141.67255    15835.49609
 22098000      143.46028    16035.32227
 22099500      143.62691    16053.94629
 22101000      143.45918    16035.19727
 22102500      143.29066    16016.36230
 22104000      143.50691    16040.53320
 22105500      141.50146    15816.37305
 22107000      143.61028    16052.08691
 22108500      141.40538    15805.63379
 22110000      143.34309    16022.22266
 22111500      143.85443    16079.37695
 22113000      141.44226    15809.75586
 22114500      142.26312    15901.50879
 22116000      143.66502    16058.20508
 22117500      142.95428    15978.76270
 22119000      143.94873    16089.91797
 22120500      142.32257    15908.15332
 22122000      141.93547    15864.88477
 22123500      143.67902    16059.77051
 22125000      144.64995    16168.29688
 22126500      143.11026    15996.19727
 22128000      143.27852    16015.00391
 22129500      142.95053    15978.34375
 22131000      142.06854    15879.75879
 22132500      143.54532    16044.82520
 22134000      144.18509    16116.33594
 22135500      143.63470    16054.81641
 22137000      142.19757    15894.18164
 22138500      142.28352    15903.78809
 22140000      144.41769    16142.33594
 22141500      141.79912    15849.64453
 22143000      142.69780    15950.09375
 22144500      141.75502    15844.71582
 22146000      143.51755    16041.72266
 22147500      143.43761    16032.78613
 22149000      141.58408    15825.60840
 22150500      144.22041    16120.28516
 22152000      141.61433    15828.98926
 22153500      143.05952    15990.52734
 22155000      143.05923    15990.49414
 22156500      144.39931    16140.28125
 22158000      144.06055    16102.41504
 22159500      142.56561    15935.31934
 22161000      142.39920    15916.71777
 22162500      143.28212    16015.40625
 22164000      144.18477    16116.29980
 22165500      142.83267    15965.16992
 22167000      142.68491    15948.65234
 22168500      143.02521    15986.69043
 22170000      143.89439    16083.84375
 22171500      143.87901    16082.12500
 22173000      142.98799    15982.53027
 22174500      143.13461    15998.91895
 22176000      143.06404    15991.03027
 22177500      142.69177    15949.42090
 22179000      142.74174    15955.00586
 22180500      142.44266    15921.57617
 22182000      142.49034    15926.90527
 22183500      144.28439    16127.43555
 22185000      143.32336    16020.01758
 22186500      142.58513    15937.50000
 22188000      143.43744    16032.76855
 22189500      143.70790    16062.99805
 22191000      142.45828    15923.32227
 22192500      143.00826    15984.79492
 22194000      143.55486    16045.89160
 22195500      142.97549    15981.13281
 22197000      143.38425    16026.82227
 22198500      142.37752    15914.29492
 22200000      141.98167    15870.04883
 22201500      143.52585    16042.64941
 22203000      143.56444    16046.96289
