#    Conf       T(K)      KE (Kcal/mol)  PE Kcal/mol     Pressure (bar)      Pxx(bar)     Pyy(bar)        Pzz(bar)        Pxy(bar)     Pxz(bar)        Pyz(bar)  
   603580        1.43321       17.08395   -18814.69141        3.65250        3.69836        3.61932        3.63982       -0.01135       -0.09371       -0.06050
   603590        1.43866       17.14888   -18854.04297        3.61161        3.72738        3.54377        3.56367        0.01631       -0.00473       -0.04974
   603600        1.43352       17.08760   -18838.53125        3.61953        3.71169        3.54786        3.59906        0.07989        0.08355        0.03271
   603610        1.41275       16.84003   -18742.47266        3.69833        3.77593        3.57872        3.74033        0.06986        0.08718        0.13958
   603620        1.40910       16.79654   -18728.27539        3.70202        3.84152        3.49017        3.77436        0.02995        0.08278        0.16395
   603630        1.42664       17.00559   -18816.51563        3.61679        3.65292        3.40281        3.79463        0.10388        0.05575        0.11563
   603640        1.43361       17.08874   -18850.22656        3.58548        3.61779        3.39384        3.74480        0.20228       -0.00648        0.08167
   603650        1.42669       17.00615   -18813.58984        3.62183        3.68662        3.48890        3.68996        0.23615       -0.05174        0.05887
   603660        1.42541       16.99089   -18803.74023        3.63456        3.73225        3.58900        3.58243        0.22087       -0.02288        0.06597
   603670        1.43292       17.08050   -18836.39258        3.60406        3.60365        3.62537        3.58315        0.13835        0.03324        0.02711
   603680        1.43142       17.06263   -18823.21680        3.61111        3.49746        3.65876        3.67712        0.04337        0.00248       -0.05532
   603690        1.42434       16.97819   -18781.00391        3.64608        3.51284        3.68096        3.74443        0.03867       -0.01254       -0.08511
   603700        1.43346       17.08694   -18818.47656        3.61700        3.59488        3.65928        3.59685        0.04178       -0.00776       -0.06194
   603710        1.43175       17.06652   -18800.79297        3.63371        3.68449        3.69036        3.52629        0.03075        0.00737       -0.03982
   603720        1.43069       17.05382   -18785.43750        3.64662        3.74245        3.65122        3.54620        0.03156        0.03255       -0.01990
   603730        1.43995       17.16424   -18820.72070        3.61488        3.72137        3.58432        3.53896        0.03350        0.04149        0.03726
   603740        1.44140       17.18149   -18816.71094        3.62008        3.64203        3.59888        3.61934        0.06955       -0.00073        0.04835
   603750        1.42807       17.02261   -18738.62695        3.69122        3.68584        3.60708        3.78074        0.02408       -0.04273        0.05997
   603760        1.43379       17.09079   -18754.81836        3.68340        3.72162        3.52756        3.80103        0.02722       -0.10556        0.09108
   603770        1.42714       17.01160   -18708.02539        3.72453        3.75246        3.56096        3.86015        0.02620       -0.11551        0.08864
   603780        1.43161       17.06483   -18715.50195        3.71765        3.72237        3.62697        3.80361        0.02101       -0.15021        0.05575
   603790        1.44356       17.20731   -18759.50781        3.68417        3.67038        3.71228        3.66985        0.00054       -0.18055        0.00514
   603800        1.43327       17.08459   -18692.31445        3.74827        3.75930        3.83513        3.65037        0.00243       -0.10073        0.03657
   603810        1.45491       17.34264   -18784.61523        3.67968        3.69497        3.79822        3.54585        0.02245       -0.02322        0.02791
   603820        1.47253       17.55256   -18858.09961        3.62283        3.66337        3.68708        3.51805        0.01588       -0.00685       -0.02116
   603830        1.46259       17.43409   -18797.15234        3.67741        3.74137        3.68683        3.60404       -0.00644       -0.06307       -0.07385
   603840        1.46586       17.47306   -18805.01953        3.67218        3.70933        3.65002        3.65718       -0.03270       -0.14021       -0.10221
   603850        1.46561       17.47018   -18797.72266        3.67828        3.67460        3.65418        3.70606       -0.04138       -0.19784       -0.11194
   603860        1.46156       17.42190   -18773.92773        3.69989        3.65549        3.70286        3.74133       -0.04068       -0.18640       -0.06339
   603870        1.46121       17.41773   -18770.54883        3.69961        3.57568        3.71463        3.80853       -0.08271       -0.13154       -0.05735
   603880        1.46689       17.48543   -18799.23047        3.66655        3.56429        3.62172        3.81363       -0.16183       -0.07980       -0.07915
   603890        1.45807       17.38030   -18757.72656        3.69391        3.62971        3.63887        3.81316       -0.19711       -0.02696       -0.04553
   603900        1.44725       17.25125   -18707.51367        3.73342        3.67310        3.74521        3.78196       -0.20271        0.03391       -0.02030
   603910        1.45256       17.31457   -18738.37695        3.70780        3.70025        3.75614        3.66700       -0.23997        0.04196       -0.03082
   603920        1.45729       17.37099   -18767.20117        3.68979        3.67576        3.72504        3.66855       -0.19071        0.04540       -0.02595
   603930        1.45416       17.33366   -18757.98438        3.70782        3.63858        3.72252        3.76236       -0.15915        0.05820        0.03036
   603940        1.44663       17.24394   -18727.79492        3.74242        3.63709        3.73086        3.85931       -0.15357        0.02542        0.06032
   603950        1.44370       17.20901   -18720.71680        3.74993        3.62678        3.74558        3.87744       -0.17813        0.01889        0.10344
   603960        1.46120       17.41751   -18816.01758        3.66087        3.54039        3.64322        3.79900       -0.10406        0.02024        0.07637
   603970        1.46274       17.43587   -18833.35742        3.63951        3.56260        3.58678        3.76914       -0.00639       -0.00510        0.01856
   603980        1.45531       17.34740   -18808.06250        3.66151        3.64547        3.64377        3.69530        0.08252        0.00367        0.02128
   603990        1.44716       17.25023   -18780.56836        3.68778        3.67674        3.67385        3.71276        0.12468        0.08572        0.03467
   604000        1.43483       17.10320   -18732.77930        3.72837        3.81473        3.59392        3.77645        0.11874        0.11557        0.06943
   604010        1.43157       17.06432   -18729.83203        3.72480        3.94764        3.48498        3.74179        0.05368        0.07312        0.04551
   604020        1.43880       17.15056   -18779.04297        3.68091        3.94505        3.44706        3.65061        0.04032        0.04204       -0.00521
   604030        1.42913       17.03533   -18743.85352        3.71396        3.87531        3.56752        3.69905        0.08992        0.03308        0.00770
   604040        1.42896       17.03321   -18755.84961        3.70805        3.75403        3.61467        3.75546        0.09097        0.00387       -0.03538
   604050        1.44189       17.18741   -18833.52930        3.64050        3.57268        3.63659        3.71224        0.08321       -0.03291       -0.03880
   604060        1.44316       17.20254   -18854.89453        3.62229        3.48383        3.63043        3.75262        0.11324       -0.02556        0.03273
   604070        1.42850       17.02776   -18799.92578        3.67070        3.47694        3.66616        3.86902        0.12209       -0.01949        0.07002
